name,category,description,price,stock,imageUrl,discountPercent,discountStart,discountEnd,isActive
Roma Tomatoes,vegetables,Juicy roma tomatoes for pasta sauces and salads,2.79,96,https://images.unsplash.com/photo-1546094096-0df4bcaaa337?auto=format&fit=crop&w=900&q=80,0,,,true
Green Cabbage,vegetables,Dense green cabbage great for stir fry and soup,2.49,72,https://images.unsplash.com/photo-1615485500704-8e990f9900f7?auto=format&fit=crop&w=900&q=80,0,,,true
Red Bell Peppers,vegetables,Sweet crisp red peppers perfect for roasting,3.69,64,https://images.unsplash.com/photo-1563565375-f3fdfdbefa83?auto=format&fit=crop&w=900&q=80,8,2026-03-16T00:00:00.000Z,2026-03-30T23:59:59.000Z,true
Cauliflower Head,vegetables,Fresh cauliflower with tight florets and mild flavor,4.19,58,https://images.unsplash.com/photo-1510627498534-cf7e9002facc?auto=format&fit=crop&w=900&q=80,0,,,true
Zucchini Pack,vegetables,Tender zucchini ideal for grilling and sauteing,2.59,76,https://images.unsplash.com/photo-1583663848850-46af132dc08e?auto=format&fit=crop&w=900&q=80,0,,,true
English Cucumbers,vegetables,Cool and crunchy cucumbers for sandwiches and salads,2.39,90,https://images.unsplash.com/photo-1604977042946-1eecc30f269e?auto=format&fit=crop&w=900&q=80,0,,,true
Sweet Corn,vegetables,Golden sweet corn ready for boiling or grilling,3.29,88,https://images.unsplash.com/photo-1551754655-cd27e38d2076?auto=format&fit=crop&w=900&q=80,6,2026-03-16T00:00:00.000Z,2026-03-30T23:59:59.000Z,true
Iceberg Lettuce,vegetables,Crisp iceberg lettuce for burgers and wraps,1.99,94,https://images.unsplash.com/photo-1622206151226-18ca2c9ab4a1?auto=format&fit=crop&w=900&q=80,0,,,true
Bok Choy,vegetables,Fresh bok choy with tender stems and leafy tops,3.19,52,https://images.unsplash.com/photo-1628773822503-930a7eaecf80?auto=format&fit=crop&w=900&q=80,0,,,true
Purple Eggplant,vegetables,Glossy eggplant suited for roasting and curry dishes,2.89,49,https://images.unsplash.com/photo-1603046891744-7611d8c84f73?auto=format&fit=crop&w=900&q=80,0,,,true
Green Beans,vegetables,Snappy green beans for side dishes and stir fry,3.09,61,https://images.unsplash.com/photo-1567375698348-5d9d5ae99de0?auto=format&fit=crop&w=900&q=80,0,,,true
White Mushrooms,vegetables,Fresh button mushrooms with earthy flavor,3.79,67,https://images.unsplash.com/photo-1504544750208-dc0358e63f7f?auto=format&fit=crop&w=900&q=80,5,2026-03-16T00:00:00.000Z,2026-03-30T23:59:59.000Z,true
Celery Hearts,vegetables,Crunchy celery stalks for soups and snacks,2.29,54,https://images.unsplash.com/photo-1518843875459-f738682238a6?auto=format&fit=crop&w=900&q=80,0,,,true
Russet Potatoes,vegetables,Hearty russet potatoes for fries mash and baking,4.49,110,https://images.unsplash.com/photo-1518977676601-b53f82aba655?auto=format&fit=crop&w=900&q=80,0,,,true
Yellow Onions,vegetables,Versatile yellow onions for savory cooking,2.19,132,https://images.unsplash.com/photo-1508747703725-719777637510?auto=format&fit=crop&w=900&q=80,0,,,true
Garlic Bulbs,vegetables,Aromatic garlic bulbs for bold everyday flavor,1.69,140,https://images.unsplash.com/photo-1615477550927-6ec6ef3a3d65?auto=format&fit=crop&w=900&q=80,0,,,true
Navel Oranges,fruits,Sweet navel oranges packed with bright citrus flavor,4.09,118,https://images.unsplash.com/photo-1547514701-42782101795e?auto=format&fit=crop&w=900&q=80,0,,,true
Strawberries Box,fruits,Fresh strawberries with a sweet juicy finish,5.79,74,https://images.unsplash.com/photo-1464965911861-746a04b4bca6?auto=format&fit=crop&w=900&q=80,10,2026-03-16T00:00:00.000Z,2026-03-30T23:59:59.000Z,true
